FITSKeyword	DBKeyword	Source	MetadataDatatype	Units	DBDatatype	MetadataWidth	NullsAllowed	ValidateFormat	CheckValues	InputFormat	OutputFormat	SpecialIngest	MinValue	MaxValue	DiscreteValues	Metadata	UI	Calib	TAP_visible	TAP_principal	Description	Example	Notes
BFILTNAM	BFILTNAM	KCWI	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y	Y			Y	Blue Filter name	KBlue	Does this have an allowed list of values we should check?  [ACL]  No Check needed
BFILTNUM	BFILTNUM	KCWI	integer		NUMBER(*,0)	16	Y	Y	N		16d					Y					Blue Filter number (0-5)	3	
BFOCENC	BFOCENC	KCWI	integer		NUMBER(*,0)	16	Y	Y	N		16d					Y					Blue Focus Stage Encoder Value	-1899	
BFOCHM	BFOCHM	KCWI	integer		NUMBER(*,0)	16	Y	Y	N		16d					Y					Blue Focus Stage Homed? 0-no, 1-yes	1	
BFOCMM	BFOCMM	KCWI	double		FLOAT(126)	16	Y	Y	N		18.5f					Y					Blue Focus Stage Position in mm	-1.899	
BFPNAME	BFPNAME	KCWI	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y					Blue Filter pusher position name	Mount	
BFPPOS	BFPPOS	KCWI	integer		NUMBER(*,0)	16	Y	Y	N		16d					Y					Blue Filter pusher position num (0-2)	2	
BFTNAME	BFTNAME	KCWI	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y					Blue Filter transfer position name	Beam	
BFTPOS	BFTPOS	KCWI	integer		NUMBER(*,0)	16	Y	Y	N		16d					Y					Blue Filter transfer position num (0-1)	1	
BGPNAME	BGPNAME	KCWI	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y					Blue Grating pusher position name	Mount	
BGPPOS	BGPPOS	KCWI	integer		NUMBER(*,0)	16	Y	Y	N		16d					Y					Blue Grating pusher position num (0-2)	2	
BGPRESS	BGPRESS	KCWI	double	Torr	FLOAT(126)	24	Y	Y	N		18.5f					Y					Blue Pressure Gauge Pressure	0.0001	
BGRANGLE	BGRANGLE	KCWI	double	degrees	FLOAT(126)	16	Y	Y	N		18.5f					Y					Blue Grating Angle	28.6187191	
BGRATNAM	BGRATNAM	KCWI	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y	Y			Y	Blue Grating name	BL	
BGRATNUM	BGRATNUM	KCWI	integer		NUMBER(*,0)	16	Y	Y	N		16d					Y					Blue Grating number (0-5)	2	
BGRENC	BGRENC	KCWI	integer		NUMBER(*,0)	16	Y	Y	N		16d					Y					Blue Grating rotator encoder position (counts)	-10993	
BGROTNAM	BGROTNAM	KCWI	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y					Blue Grating rotator position name	28.619	Floating point or string since the description says name?  Both, so use string
BGROTNUM	BGROTNUM	KCWI	integer		NUMBER(*,0)	16	Y	Y	N		16d					Y					Blue Grating rotator position num (0-2)	2	
BGTNAME	BGTNAME	KCWI	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y					Blue Grating transfer position name	Beam	
BGTPOS	BGTPOS	KCWI	integer		NUMBER(*,0)	16	Y	Y	N		16d					Y					Blue Grating transfer position num (0-1)	1	
BHTR1ST	BHTR1ST	KCWI	char		VARCHAR2(8 BYTE)	8	Y	Y	N		9s					Y					Blue Heater 1 Status	UNKNOWN	If not unknown, will this a string or integer?  String (OK)
BHTR2ST	BHTR2ST	KCWI	char		VARCHAR2(8 BYTE)	8	Y	Y	N		9s					Y					Blue Heater 2 Status	UNKNOWN	If not unknown, will this a string or integer?
BIASFN	BIASFN	KCWI-F	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y					Bias filename	0	
BINFAC1	BINFAC1	KCWI	integer	units	NUMBER(*,0)	8	Y	Y	N							Y					[CCDpix/FITSpix] bin factor	2
BINFAC2	BINFAC2	KCWI	integer	units	NUMBER(*,0)	8	Y	Y	N							Y					[CCDpix/FITSpix] bin factor	2
BINNING	BINNING	KCWI	char		VARCHAR2(8 BYTE)	8	Y	Y	N		8s					Y					binning: serial/axis1, parallel/axis2	2,2	
BINPUT1	BINPUT1	KCWI	integer		NUMBER(*,0)	16	Y	Y	N		16d					Y					Blue Heater 1 Input Sensor	7	
BINPUT2	BINPUT2	KCWI	integer		NUMBER(*,0)	16	Y	Y	N		16d					Y					Blue Heater 2 Input Sensor	1	
BITPIX	BITPIX	KCWI	integer		NUMBER(*,0)	16	Y	Y	N		16d					Y					number of bits per data pixel	16	
BMXCURM1	BMXCURM1	KCWI	integer		NUMBER(*,0)	16	Y	Y	N		16d					Y					Blue Heater 1 Max Current Mode	1	
BMXCURM2	BMXCURM2	KCWI	integer		NUMBER(*,0)	16	Y	Y	N		16d					Y					Blue Heater 2 Max Current Mode	1	
BNASENC	BNASENC	KCWI	integer		NUMBER(*,0)	32	Y	Y	N		32d					Y					Blue NandS Mask Stage Encoder Value	90001	
BNASNAM	BNASNAM	KCWI	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y					Blue NandS Mask Stage Position Name	Open	
BPUPEN1	BPUPEN1	KCWI	integer		NUMBER(*,0)	16	Y	Y	N		16d					Y					Blue Heater 1 Power-up Enabled?	0	
BPUPEN2	BPUPEN2	KCWI	integer		NUMBER(*,0)	16	Y	Y	N		16d					Y					Blue Heater 2 Power-up Enabled?	1	
BPWAVE	BPWAVE	KCWI	double		FLOAT(126)	16	Y	Y	N		18.5f					Y					Blue Peak Wavelength (Ang)	4499.85791	
BRANGE1	BRANGE1	KCWI	integer		NUMBER(*,0)	16	Y	Y	N		16d					Y					Blue Heater 1 Power Range (0-Off, 1-Lo, 2-Md)	0	
BRANGE2	BRANGE2	KCWI	integer		NUMBER(*,0)	16	Y	Y	N		16d					Y					Blue Heater 2 Power Range (0-Off, 1-Lo, 2-Md)	2	
BRESIST1	BRESIST1	KCWI	integer	Ohms	NUMBER(*,0)	16	Y	Y	N		16d					Y					Blue Heater 1 Resistance (1-25, 2-50)	1	
BRESIST2	BRESIST2	KCWI	integer	Ohms	NUMBER(*,0)	16	Y	Y	N		16d					Y					Blue Heater 2 Resistance (1-25, 2-50)	1	
BSCALE	BSCALE	KCWI	integer		NUMBER(*,0)	16	Y	Y	N		16d					Y					default scaling factor	1	
BSEC1	BSEC1	KCWI	char		VARCHAR2(40 BYTE)	40	Y	Y	N		40s					Y					IRAF BIASSEC [FITSpix], readout sequence 0	[1054:1150,1:1028]	
BSEC2	BSEC2	KCWI	char		VARCHAR2(40 BYTE)	40	Y	 Y	N		40s					Y					IRAF BIASSEC [FITSpix], readout sequence 1	[1247:1151,1:1028]	
BSEC3	BSEC3	KCWI	char		VARCHAR2(40 BYTE)	40	Y	Y	N		40s					Y					IRAF BIASSEC [FITSpix], readout sequence 2	[1054:1150,2200:1173]	
BSEC4	BSEC4	KCWI	char		VARCHAR2(40 BYTE)	40	Y	Y	N		40s					Y					IRAF BIASSEC [FITSpix], readout sequence 4	[1247:1151,2200:1173]	
BTMPHTP1	BTMPHTP1	KCWI	double	%	FLOAT(126)	16	Y	Y	N		18.5f					Y					Blue Heater 1 Output	0	Whole number or a floating point percentage?  Float
BTMPHTP2	BTMPHTP2	KCWI	double	%	FLOAT(126)	16	Y	Y	N		18.5f					Y					Blue Heater 2 Output	0	Whole number or a floating point percentage?
BTRGTMP1	BTRGTMP1	KCWI	double	Kelvin	FLOAT(126)	16	Y	Y	N		18.5f					Y					Blue Heater 2 setpoint	160	
BTRGTMP2	BTRGTMP2	KCWI	double	Kelvin	FLOAT(126)	16	Y	Y	N		18.5f					Y					Blue Heater 2 setpoint	150	
BVCURR	BVCURR	KCWI	double	amps	FLOAT(126)	16	Y	Y	N		18.5f					Y					Blue Vac-Ion Current	5.40E-06	
BVHVON	BVHVON	KCWI	integer		NUMBER(*,0)	16	Y	Y	N		16d					Y					Blue Vac-Ion HV on? 0-no, 1-yes	1	
BVPRESS	BVPRESS	KCWI	double	Torr	FLOAT(126)	16	Y	Y	N		18.5f					Y					Blue Vac-Ion Pressure	1.30E-07	
BVVOLT	BVVOLT	KCWI	integer	volts	NUMBER(*,0)	16	Y	Y	N		16d					Y					Blue Vac-Ion Voltage	5000	
BZERO	BZERO	KCWI	double		FLOAT(126)	16	Y	Y	N		18.5f					Y					offset data range to that of unsigned short	32768	
CALHANG	CALHANG	KCWI	double	degrees	FLOAT(126)	16	Y	Y	N		18.5f					Y					CAL Hex Pupil angle	0.017591	
CALHNAM	CALHNAM	KCWI	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y					CAL Hex Pupil position name	Flat	
CALHPOS	CALHPOS	KCWI	integer		NUMBER(*,0)	16	Y	Y	N		16d					Y					CAL Hex Pupil position number (0-3)	1	
CALHSPD	CALHSPD	KCWI	double	degrees	FLOAT(126)	16	Y	Y	N		18.5f					Y					CAL Hex Pupil rotation speed	0	
CALHSTAT	CALHSTAT	KCWI	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y					CAL Hex Pupil status (Moving, OK)	OK	
CALLANG	CALLANG	KCWI	double	degrees	FLOAT(126)	16	Y	Y	N		18.5f					Y					CAL Linear Polarizer angle	0.035188	
CALLENC	CALLENC	KCWI	integer		NUMBER(*,0)	16	Y	Y	N		16d					Y					CAL Linear Polarizer encoder position (counts)	5	
CALLNAM	CALLNAM	KCWI	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y					CAL Linear Polarizer position name	Home	
CALLPOS	CALLPOS	KCWI	integer		NUMBER(*,0)	16	Y	Y	N		16d					Y					CAL Linear Polarizer position number (0-4)	0	
CALMENC	CALMENC	KCWI	integer		NUMBER(*,0)	16	Y	Y	N		16d					Y					CAL Mirror encoder position (counts)	486384	
CALMNAM	CALMNAM	KCWI	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y					CAL Mirror position name	Mirror	
CALMOFF	CALMOFF	KCWI-F	integer	counts	NUMBER(*,0)	16	Y	Y	N		16d					Y					CAL Mirror offset	0	
CALMPOS	CALMPOS	KCWI	integer		NUMBER(*,0)	16	Y	Y	N		16d					Y					CAL Mirror position number (0-2)	1	
CALMZERO	CALMZERO	KCWI-F	integer	counts	NUMBER(*,0)	16	Y	Y	N		16d					Y					CAL Mirror zero	0	
CALPENC	CALPENC	KCWI	integer		NUMBER(*,0)	16	Y	Y	N		16d					Y					CAL Pupil encoder position (counts)	12502	
CALPNAM	CALPNAM	KCWI	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y					CAL Pupil Lens position name	Sky	
CALPPOS	CALPPOS	KCWI	integer		NUMBER(*,0)	16	Y	Y	N		16d					Y					CAL Pupil Lens position number (0-2)	0	
CALTYPE	CALTYPE	KCWI	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y					Type of image according to CAL server	cflat	
CALXENC	CALXENC	KCWI	integer		NUMBER(*,0)	16	Y	Y	N		16d					Y					CAL X encoder position (counts)	279865	
CALXNAM	CALXNAM	KCWI	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y					CAL X axis position	FlatA	
CALXOFF	CALXOFF	KCWI-F	integer	counts	NUMBER(*,0)	16	Y	Y	N		16d					Y					CAL X offset	0	
CALXPOS	CALXPOS	KCWI	integer		NUMBER(*,0)	16	Y	Y	N		16d					Y					CAL X axis position number (0-13)	6	
CALXZERO	CALXZERO	KCWI-F	integer	counts	NUMBER(*,0)	16	Y	Y	N		16d					Y					CAL X zero	0	
CALYENC	CALYENC	KCWI	integer		NUMBER(*,0)	16	Y	Y	N		16d					Y					CAL Y encoder position (counts)	123498	
CALYNAM	CALYNAM	KCWI	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y					CAL Y axis position	FlatA	
CALYOFF	CALYOFF	KCWI-F	integer	counts	NUMBER(*,0)	16	Y	Y	N		16d					Y					CAL Y offset	0	
CALYPOS	CALYPOS	KCWI	integer		NUMBER(*,0)	16	Y	Y	N		16d					Y					CAL Y axis position number (0-13)	6	
CALYZERO	CALYZERO	KCWI-F	integer	counts	NUMBER(*,0)	16	Y	Y	N		16d					Y					CAL Y zero	0	
CAMERA	CAMERA	KCWI	char		VARCHAR2(32 BYTE)	32	Y	Y	Y		32s					Y	Y			Y	Camera chip: FPC for imaging (KF), BLUE (KB) or RED (KR) for spectroscopy	BLUE	
CAMIP	CAMIP	KCWI-F	char		VARCHAR2(24 BYTE)	24	Y	Y	N		24s					Y					Camera IP number	192.168.1.30	
CAMMODEL	CAMMODEL	KCWI-F	char		VARCHAR2(68 BYTE)	68	Y	Y	N		68s					Y					Camera model	GT3300 (02-2622A)	
CAMSN	CAMSN	KCWI-F	char		VARCHAR2(68 BYTE)	68	Y	Y	N		68s					Y					Camera serial number	02-2622A-07106	
CAMTEMP	CAMTEMP	KCWI-F	double	Celsius	FLOAT(126)	16	Y	Y	N		18.5f					Y					Camera temperature	3.125	
CCDGAIN	CCDGAIN	KCWI	double	e/Dn	FLOAT(126)	16	Y	Y	N		18.5f					Y					gain	0.145	
CCDGAIN1	CCDGAIN1	KCWI-F	double	e/DN	FLOAT(126)	16	Y	Y	N		18.5f					Y					Gain LL	1.255	
CCDGAIN2	CCDGAIN2	KCWI-F	double	e/DN	FLOAT(126)	16	Y	Y	N		18.5f					Y					Gain LR	1.238	
CCDGAIN3	CCDGAIN3	KCWI-F	double	e/DN	FLOAT(126)	16	Y	Y	N		18.5f					Y					Gain UL	1.255	
CCDGAIN4	CCDGAIN4	KCWI-F	double	e/DN	FLOAT(126)	16	Y	Y	N		18.5f					Y					Gain UR	1.237	
CCDMODE	CCDMODE	KCWI	integer		NUMBER(*,0)	16	Y	Y	N		16d					Y					CCD speed mode (slow-0 fast-1)	1	
CCDSPEED	CCDSPEED	KCWI	integer		NUMBER(*,0)	16	Y	Y	N		16d					Y					CCD readout speed	1	
CCDSUM	CCDSUM	KCWI	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y					IRAF ccdsum	2 2	
CD1_1	CD1_1	KOA	double		FLOAT(126)	24	Y	Y	N		18.5f					Y					WCS coordinate transformation matrix		
CD1_2	CD1_2	KOA	double		FLOAT(126)	24	Y	Y	N		18.5f					Y					WCS coordinate transformation matrix		
CD2_1	CD2_1	KOA	double		FLOAT(126)	24	Y	Y	N		18.5f					Y					WCS coordinate transformation matrix		
CD2_2	CD2_2	KOA	double		FLOAT(126)	24	Y	Y	N		18.5f					Y					WCS coordinate transformation matrix		
CD1_1A	CD1_1A	KCWI	double	units	FLOAT(126)	16	Y	Y	N							Y					ampId1 WCS A CTM1_1 from pix to iWC	2.0
CD1_1B	CD1_1B	KCWI	double	units	FLOAT(126)	16	Y	Y	N							Y					ampId1 WCS B CTM1_1 from pix to iWC	2.0
CD1_1C	CD1_1C	KCWI	double	units	FLOAT(126)	16	Y	Y	N							Y					ampId3 WCS C CTM1_1 from pix to iWC	-2.0
CD1_1D	CD1_1D	KCWI	double	units	FLOAT(126)	16	Y	Y	N							Y					ampId3 WCS D CTM1_1 from pix to iWC	2.0
CD1_2A	CD1_2A	KCWI	double	units	FLOAT(126)	16	Y	Y	N							Y					ampId1 WCS A CTM1_2 from pix to iWC	0.0
CD1_2B	CD1_2B	KCWI	double	units	FLOAT(126)	16	Y	Y	N							Y					ampId1 WCS B CTM1_2 from pix to iWC	0.0
CD1_2C	CD1_2C	KCWI	double	units	FLOAT(126)	16	Y	Y	N							Y					ampId3 WCS C CTM1_2 from pix to iWC	0.0
CD1_2D	CD1_2D	KCWI	double	units	FLOAT(126)	16	Y	Y	N							Y					ampId3 WCS D CTM1_2 from pix to iWC	0.0
CD2_1A	CD2_1A	KCWI	double	units	FLOAT(126)	16	Y	Y	N							Y					ampId1 WCS A CTM2_1 from pix to iWC	0.0
CD2_1B	CD2_1B	KCWI	double	units	FLOAT(126)	16	Y	Y	N							Y					ampId1 WCS B CTM2_1 from pix to iWC	0.0
CD2_1C	CD2_1C	KCWI	double	units	FLOAT(126)	16	Y	Y	N							Y					ampId3 WCS C CTM2_1 from pix to iWC	0.0
CD2_1D	CD2_1D	KCWI	double	units	FLOAT(126)	16	Y	Y	N							Y					ampId3 WCS D CTM2_1 from pix to iWC	0.0
CD2_2A	CD2_2A	KCWI	double	units	FLOAT(126)	16	Y	Y	N							Y					ampId1 WCS A CTM2_2 from pix to iWC	2.0
CD2_2B	CD2_2B	KCWI	double	units	FLOAT(126)	16	Y	Y	N							Y					ampId1 WCS B CTM2_2 from pix to iWC	2.0
CD2_2C	CD2_2C	KCWI	double	units	FLOAT(126)	16	Y	Y	N							Y					ampId3 WCS C CTM2_2 from pix to iWC	2.0
CD2_2D	CD2_2D	KCWI	double	units	FLOAT(126)	16	Y	Y	N							Y					ampId3 WCS D CTM2_2 from pix to iWC	2.0
CDSSPEED	CDSSPEED	KCWI	integer	units	NUMBER(*,0)	8	Y	Y	N							Y					$SPEEDn in Archon config file	1
CHANMODE	CHANMODE	KCWI	char	units	VARCHAR2(16 BYTE)	16	Y	Y	N							Y					KCWI channels in use	BOTH
CHECKSUM	CHECKSUM	KCWI	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y					HDU checksum updated 2016-10-13T20:33:41	3dT5AbQ26bQ2AbQ2	
CRDER1A	CRDER1A	KCWI	double	units	FLOAT(126)	16	Y	Y	N							Y					ampId1 iWaxis1 WCS A coord random error	0.0
CRDER1B	CRDER1B	KCWI	double	units	FLOAT(126)	16	Y	Y	N							Y					ampId1 iWaxis1 WCS B coord random error	0.0
CRDER1C	CRDER1C	KCWI	double	units	FLOAT(126)	16	Y	Y	N							Y					ampId3 iWaxis1 WCS C coord random error	0.0
CRDER1D	CRDER1D	KCWI	double	units	FLOAT(126)	16	Y	Y	N							Y					ampId3 iWaxis1 WCS D coord random error	0.0
CRDER2A	CRDER2A	KCWI	double	units	FLOAT(126)	16	Y	Y	N							Y					ampId1 iWaxis2 WCS A coord random error	0.0
CRDER2B	CRDER2B	KCWI	double	units	FLOAT(126)	16	Y	Y	N							Y					ampId1 iWaxis2 WCS B coord random error	0.0
CRDER2C	CRDER2C	KCWI	double	units	FLOAT(126)	16	Y	Y	N							Y					ampId3 iWaxis2 WCS C coord random error	0.0
CRDER2D	CRDER2D	KCWI	double	units	FLOAT(126)	16	Y	Y	N							Y					ampId3 iWaxis2 WCS D coord random error	0.0
CRPIX1	CRPIX1	KOA	double		FLOAT(126)	24	Y	Y	N		18.5f					Y					Reference pixel		
CRPIX2	CRPIX2	KOA	double		FLOAT(126)	24	Y	Y	N		18.5f					Y					Reference pixel		
CRPIX1A	CRPIX1A	KCWI	double	units	FLOAT(126)	16	Y	Y	N							Y					ampId1 axis1 WCS A reference pixel	0.5
CRPIX1B	CRPIX1B	KCWI	double	units	FLOAT(126)	16	Y	Y	N							Y					ampId1 axis1 WCS B reference pixel	0.5
CRPIX1C	CRPIX1C	KCWI	double	units	FLOAT(126)	16	Y	Y	N							Y					ampId3 axis1 WCS C reference pixel	2208.5
CRPIX1D	CRPIX1D	KCWI	double	units	FLOAT(126)	16	Y	Y	N							Y					ampId3 axis1 WCS D reference pixel	2208.5
CRPIX2A	CRPIX2A	KCWI	double	units	FLOAT(126)	16	Y	Y	N							Y					ampId1 axis2 WCS A reference pixel	0.5
CRPIX2B	CRPIX2B	KCWI	double	units	FLOAT(126)	16	Y	Y	N							Y					ampId1 axis2 WCS B reference pixel	0.5
CRPIX2C	CRPIX2C	KCWI	double	units	FLOAT(126)	16	Y	Y	N							Y					ampId3 axis2 WCS C reference pixel	0.5
CRPIX2D	CRPIX2D	KCWI	double	units	FLOAT(126)	16	Y	Y	N							Y					ampId3 axis2 WCS D reference pixel	0.5
CRVAL1	CRVAL1	KOA	double		FLOAT(126)	24	Y	Y	N		18.5f					Y					Reference pixel value		
CRVAL2	CRVAL2	KOA	double		FLOAT(126)	24	Y	Y	N		18.5f					Y					Reference pixel value		
CRVAL1A	CRVAL1A	KCWI	double	units	FLOAT(126)	16	Y	Y	N							Y					ampId1 iWaxis1 WCS A coord value @ refpix	-7.0
CRVAL1B	CRVAL1B	KCWI	double	units	FLOAT(126)	16	Y	Y	N							Y					ampId1 iWaxis1 WCS B coord value @ refpix	-7.0
CRVAL1C	CRVAL1C	KCWI	double	units	FLOAT(126)	16	Y	Y	N							Y					ampId3 iWaxis1 WCS C coord value @ refpix	-7.0
CRVAL1D	CRVAL1D	KCWI	double	units	FLOAT(126)	16	Y	Y	N							Y					ampId3 iWaxis1 WCS D coord value @ refpix	4121.0
CRVAL2A	CRVAL2A	KCWI	double	units	FLOAT(126)	16	Y	Y	N							Y					ampId1 iWaxis2 WCS A coord value @ refpix	0.0
CRVAL2B	CRVAL2B	KCWI	double	units	FLOAT(126)	16	Y	Y	N							Y					ampId1 iWaxis2 WCS B coord value @ refpix	0.0
